STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2020,,26112.484,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2021,,28249.922,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2022,,27183.058,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2023,,25301.714,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2014,,218966.961,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2015,,220828.704,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2016,,223485.083,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2017,,228672.699,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2018,,224061.003,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2019,,225460.935,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2020,,214491.428,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2021,,219164.864,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2022,,210746.446,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2023,,194102.844,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2014,,13314.013,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2015,,13720.263,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2016,,14136.625,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2017,,14393.341,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2018,,14418.877,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2019,,14279.661,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2020,,13561.322,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2021,,14008.702,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2022,,13184.222,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2023,,13011.499,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2014,,2814.422,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2015,,2451.773,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2016,,3341.331,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2017,,3053.725,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2018,,2963.180,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2019,,2965.079,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2020,,2955.812,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2021,,2949.449,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2022,,2860.786,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2023,,2625.710,,,,,
