year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1992,Ireland,Transformation output- combined heat and power plants- electricity,0,17,0,0,0
1992,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1992,Ireland,Transformation output- oil refineries,0,2026,0,2026,0
1992,Ireland,Transformation output- public thermal power plants,0,1268,0,0,0
1992,Ireland,Transformation output- pumped storage consumption,0,20,0,0,0
1992,Ireland,Transport - navigation,0,8,0,8,0
1992,Ireland,Transport- Sum of all aviation transport,0,317,0,317,0
1992,Ireland,Transport- domestic aviation,0,14,0,14,0
1992,Ireland,Transport- fuel tourism,0,0,0,0,0
1992,Ireland,Transport- international aviation,0,303,0,303,0
1992,Ireland,Transport- rail,0,39,0,38,0
1992,Ireland,Transport- road freight,0,352,0,352,0
1992,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1992,Ireland,Transport- road private car,0,1012,0,1012,0
1992,Ireland,Transport- road public passenger services,0,56,0,56,0
1992,Ireland,Transport- sum of all road transport,0,1420,0,1420,0
1992,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,375,0,375,0
1993,Ireland,Agricultural,0,269,0,228,0
1993,Ireland,Available final energy consumption,495,8022,612,4481,94
1993,Ireland,Commercial services,0,547,0,274,0
1993,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1993,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1993,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1993,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1993,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1993,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1993,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1993,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1993,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1993,Ireland,Exports,12,806,6,788,0
1993,Ireland,Final non energy consumption feedstocks,0,557,0,146,0
1993,Ireland,Fisheries,0,36,0,36,0
1993,Ireland,Imports,1871,7892,0,6017,0
1993,Ireland,Indigenous production,1,3456,1134,0,161
1993,Ireland,Industry- basic metals and fabricated metal products,0,345,0,298,0
1993,Ireland,Industry- chemicals and man-made fibres,0,203,0,49,0
1993,Ireland,Industry- construction,0,59,0,44,0
1993,Ireland,Industry- electrical and optical equipment,5,129,0,45,0
1993,Ireland,Industry- food and beverages,34,441,0,179,4
1993,Ireland,Industry- machinery and equipment n.e.c,0,37,0,23,0
1993,Ireland,Industry- non energy mining,0,104,0,55,0
1993,Ireland,Industry- other manufacturing,0,75,0,5,0
1993,Ireland,Industry- other non-metallic mineral products,83,216,0,49,0
1993,Ireland,"Industry- pulp, paper, publishing and printing",0,33,0,7,0
1993,Ireland,Industry- rubber and plastic products,0,35,0,10,0
1993,Ireland,Industry- textiles and textile products,12,50,0,26,0
1993,Ireland,Industry- transport equipment manufacture,0,11,0,4,0
1993,Ireland,Industry- wood and wood products,0,81,0,6,57
1993,Ireland,Mar. bunkers,0,55,0,55,0
1993,Ireland,Non-energy consumption,0,557,0,146,0
1993,Ireland,Own use and distribution losses,0,300,5,63,0
1993,Ireland,Primary energy requirement excluding non energy,1856,9954,1218,4970,161
1993,Ireland,Primary energy supply including non energy,1856,10511,1218,5115,161
1993,Ireland,Public services,0,411,14,228,0
1993,Ireland,Public services- Education,0,0,0,0,0
1993,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1993,Ireland,Public services- Public Administration,0,0,0,0,0
