year,country,energy_balance,value
2022,Türkiye,Available for final consumption,112819.433
2023,Türkiye,Available for final consumption,116493.899
2014,Ukraine,Available for final consumption,62689.172
2015,Ukraine,Available for final consumption,51487.995
2016,Ukraine,Available for final consumption,52687.135
2017,Ukraine,Available for final consumption,51607.814
2018,Ukraine,Available for final consumption,52839.534
2019,Ukraine,Available for final consumption,50060.736
2020,Ukraine,Available for final consumption,48917.87
2014,United Kingdom,Available for final consumption,122534.193
2015,United Kingdom,Available for final consumption,128316.33
2016,United Kingdom,Available for final consumption,130030.631
2017,United Kingdom,Available for final consumption,129780.443
2018,United Kingdom,Available for final consumption,130914.521
2019,United Kingdom,Available for final consumption,127768.662
2014,Kosovo*,Available for final consumption,1251.338
2015,Kosovo*,Available for final consumption,1381.747
2016,Kosovo*,Available for final consumption,1474.961
2017,Kosovo*,Available for final consumption,1567.308
2018,Kosovo*,Available for final consumption,1511.31
2019,Kosovo*,Available for final consumption,1569.347
2020,Kosovo*,Available for final consumption,1581.889
2021,Kosovo*,Available for final consumption,1780.299
2022,Kosovo*,Available for final consumption,1575.586
2023,Kosovo*,Available for final consumption,1602.282
2014,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3280.229
2015,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3497.311
2016,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3727.257
2017,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3674.038
2018,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4401.825
2019,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4417.711
2020,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4342.021
2021,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4646.735
2022,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4577.397
2014,Ukraine,Final energy consumption (Europe 2020-2030),61633.202
2015,Ukraine,Final energy consumption (Europe 2020-2030),51329.06
2016,Ukraine,Final energy consumption (Europe 2020-2030),52890.891
2017,Ukraine,Final energy consumption (Europe 2020-2030),50674.115
2018,Ukraine,Final energy consumption (Europe 2020-2030),51872.991
2019,Ukraine,Final energy consumption (Europe 2020-2030),49874.343
2020,Ukraine,Final energy consumption (Europe 2020-2030),46784.392
2014,United Kingdom,Final energy consumption (Europe 2020-2030),130116.871
2015,United Kingdom,Final energy consumption (Europe 2020-2030),132625.375
2016,United Kingdom,Final energy consumption (Europe 2020-2030),133767.863
2017,United Kingdom,Final energy consumption (Europe 2020-2030),133591.515
2018,United Kingdom,Final energy consumption (Europe 2020-2030),135131.932
2019,United Kingdom,Final energy consumption (Europe 2020-2030),134114.842
2014,Albania,Gross available energy,2375.779
2015,Albania,Gross available energy,2218.649
2016,Albania,Gross available energy,2305.608
2017,Albania,Gross available energy,2412.268
2018,Albania,Gross available energy,2398.096
2019,Albania,Gross available energy,2386.443
2020,Albania,Gross available energy,2214.765
2021,Albania,Gross available energy,2327.108
2022,Albania,Gross available energy,2239.331
2023,Albania,Gross available energy,2234.261
2014,Austria,Gross available energy,32938.236
2015,Austria,Gross available energy,33741.875
2016,Austria,Gross available energy,34209.391
